name,address,brand,gasoline,diesel,self,wash,charging,center,store,night,gu,lat,lng
현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,HD현대오일뱅크,"1,759","1,659",Y,Y,N,Y,N,N,양천구,37.5195788,126.8710739
성락주유소,서울 영등포구 가마산로 414 (신길동),S-OIL,"1,595","1,420",Y,Y,N,N,N,N,영등포구,37.503825,126.902869
영등포현대셀프주유소,서울 영등포구 경인로 822 (영등포동),HD현대오일뱅크,"1,595","1,420",Y,N,N,N,Y,N,영등포구,37.5153398,126.9044905
영등포제일셀프주유소,서울 영등포구 가마산로 379,HD현대오일뱅크,"1,595","1,420",Y,Y,N,Y,N,N,영등포구,37.5023476,126.8995031
한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),SK에너지,"1,595","1,420",Y,Y,N,N,N,N,영등포구,37.5176968,126.9169974
(주)강서오일,서울 영등포구 도신로 151,HD현대오일뱅크,"1,595","1,420",Y,N,N,N,N,Y,영등포구,37.5100219,126.908238
도림주유소,서울 영등포구 도림로 343 (도림동),알뜰주유소,"1,595","1,420",Y,N,N,Y,N,N,영등포구,37.5077607,126.9002361
(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),GS칼텍스,"1,595","1,420",Y,Y,N,Y,N,Y,영등포구,37.4985472,126.895759
(주)MS오일,서울 영등포구 대림로 230,HD현대오일뱅크,"1,595","1,420",N,Y,N,N,N,N,영등포구,37.5013367,126.8974358
지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),GS칼텍스,"1,595","1,425",Y,Y,N,N,N,Y,영등포구,37.4990517,126.9087328
행촌주유소,서울 영등포구 도신로 130 (신길동),SK에너지,"1,595","1,420",Y,Y,N,N,Y,Y,영등포구,37.5086161,126.9062365
남서울고속주유소,서울 영등포구 가마산로 367 (대림동),SK에너지,"1,595","1,420",Y,Y,N,N,N,N,영등포구,37.5016028,126.8988662
(주)지에스이앤알 보라주유소,서울 영등포구 영등포로 399 (신길동),GS칼텍스,"1,605","1,430",N,Y,N,N,N,N,영등포구,37.5135359,126.9227357
㈜지에스이앤알 모드니주유소,서울 영등포구 경인로 789,GS칼텍스,"1,605","1,430",N,Y,N,N,N,N,영등포구,37.5146455,126.9007596
씨앤에스유통(주) 한일주유소,서울 영등포구 도림로 486 (문래동3가),S-OIL,"1,638","1,455",Y,Y,N,N,N,N,영등포구,37.5172698,126.8957152
SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),SK에너지,"1,659","1,507",N,Y,N,N,N,N,영등포구,37.5153215,126.9170112
(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),GS칼텍스,"1,673","1,597",Y,Y,N,N,N,N,영등포구,37.5375352,126.8970104
SK에너지(주) 양평주유소,서울 영등포구 선유로 195 (양평동3가),SK에너지,"1,673","1,597",Y,Y,N,N,N,Y,영등포구,37.5290356,126.8910476
SK에너지(주) 기린주유소,서울 영등포구 선유로 270,SK에너지,"1,698","1,602",Y,Y,N,N,Y,Y,영등포구,37.5360437,126.899268
선유도주유소,서울 영등포구 양평로 141 (양평동5가),S-OIL,"1,705","1,608",Y,Y,N,N,N,N,영등포구,37.5393663,126.8926449
국회대로주유소,서울 영등포구 국회대로 746 (여의도동),HD현대오일뱅크,"1,716","1,598",Y,Y,N,N,N,N,영등포구,37.52799359999999,126.916041
버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),SK에너지,"2,085","1,885",N,Y,N,N,N,N,영등포구,37.5280177,126.9078708
SK KH에너지 여의도주유소,서울 영등포구 국회대로 794 (여의도동),SK에너지,"2,195","2,189",N,Y,N,N,N,N,영등포구,37.5307944,126.9203901
SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,GS칼텍스,"2,295","2,395",N,Y,Y,N,Y,Y,영등포구,37.53037990000001,126.9255782
HD현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),HD현대오일뱅크,"1,898","1,792",N,Y,N,Y,N,N,용산구,37.5459695,127.0028749
HD현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),HD현대오일뱅크,"1,989","1,900",N,Y,N,Y,N,N,용산구,37.53449570000001,126.9466634
(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),GS칼텍스,"2,025","1,875",N,N,N,N,Y,N,용산구,37.5356171,126.9627002
(주)남경주유소,서울 용산구 녹사평대로11길 24,SK에너지,"2,083","1,998",N,Y,N,Y,N,Y,용산구,37.522633,126.9931266
(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),SK에너지,"2,099","1,988",N,Y,N,N,N,N,용산구,37.5337268,126.9561284
HD현대오일뱅크㈜직영 갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),HD현대오일뱅크,"2,174","1,946",N,Y,N,Y,N,N,용산구,37.5470375,126.9722357
동자동주유소,서울 용산구 한강대로104길 6 (동자동),SK에너지,"2,174","1,945",N,Y,N,N,N,N,용산구,37.5527936,126.9747968
HD현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),HD현대오일뱅크,"2,194","1,946",N,Y,N,N,N,N,용산구,37.5505845,126.9769958
한석주유소,서울 용산구 이촌로 164,SK에너지,"2,207","2,129",N,Y,N,N,N,Y,용산구,37.5213901,126.965557
에너비스,서울 용산구 한남대로 82 (한남동),SK에너지,"2,287","2,177",N,Y,N,N,N,N,용산구,37.5360412,127.0061276
서계주유소,서울 용산구  청파로 367 (청파동),GS칼텍스,"2,871","2,840",N,Y,N,N,N,N,용산구,37.5523286,126.9689462
(주)디오티디 은평유니콘주유소,서울 은평구 통일로 1151 (진관동),HD현대오일뱅크,"1,574","1,414",N,Y,N,N,N,N,은평구,37.6432264,126.9200074
(주)아이에스피에너지(서울서부고속주유소),서울 은평구 응암로 163,HD현대오일뱅크,"1,590","1,399",Y,N,N,N,N,Y,은평구,37.5867482,126.9159464
타이거주유소,서울 은평구 수색로 188 (증산동),SK에너지,"1,594","1,474",Y,Y,N,N,N,N,은평구,37.5851478,126.9041521
불광주유소,서울 은평구 연서로 314,HD현대오일뱅크,"1,597","1,457",Y,Y,N,N,N,N,은평구,37.6232789,126.9278986
지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),GS칼텍스,"1,599","1,524",Y,Y,N,N,N,N,은평구,37.5871708,126.8875393
성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),GS칼텍스,"1,608","1,433",Y,Y,N,N,N,N,은평구,37.629232,126.919704
박석고개주유소,서울 은평구 통일로 945 (갈현동),SK에너지,"1,608","1,463",Y,Y,N,N,N,Y,은평구,37.621541,126.913578
은평뉴타운주유소,서울 은평구 통일로 924 (불광동),SK에너지,"1,608","1,463",Y,Y,N,Y,N,N,은평구,37.6252977,126.9204031
지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),GS칼텍스,"1,609","1,539",Y,Y,N,Y,N,N,은평구,37.5907918,126.9178076
지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),GS칼텍스,"1,609","1,494",Y,Y,N,N,N,Y,은평구,37.595613,126.9072033
대성산업㈜ 대성주유소,서울 은평구 통일로 642,GS칼텍스,"1,615","1,457",Y,Y,N,N,N,Y,은평구,37.6040651,126.9352558
(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),HD현대오일뱅크,"1,625","1,505",Y,Y,N,N,N,N,은평구,37.5810937,126.8977068
코끼리주유소,서울 은평구 서오릉로 41 (녹번동),자가상표,"1,698","1,588",N,Y,N,N,N,N,은평구,37.6032738,126.9294193
㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),HD현대오일뱅크,"1,709","1,639",Y,Y,N,N,N,N,종로구,37.6097352,126.974513
㈜북악주유소,서울 종로구 평창문화로 137,GS칼텍스,"1,719","1,649",Y,Y,N,N,N,N,종로구,37.6098636,126.9748982
자하문주유소,서울 종로구 자하문로 248 (부암동),SK에너지,"1,775","1,645",Y,Y,N,N,N,N,종로구,37.592748,126.9664018
안풍주유소,서울 종로구 자하문로 303,S-OIL,"1,779","1,669",N,Y,N,N,N,N,종로구,37.5992064,126.9591445
